parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
37X,guishan,Guishan,文化二路34巷14弄(文興路33巷-文化二路34巷),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37Y,guishan,Guishan,文化二路34巷14弄(機車計時)(文興路33巷-文化二路34巷),"機車車格 週一至週六 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
37Z,guishan,Guishan,文化二路2(機車計時)(龜山一路-復興一路),"機車車格 週一至週六 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
380,guishan,Guishan,樂學路(長庚路-樂學三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
381,guishan,Guishan,萬壽路一段3(中正路-福興街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
382,guishan,Guishan,文青路2(文青三路-文青六路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
383,guishan,Guishan,萬壽路二段(機車計時)(大同路-興中街),"機車車格 週一至週日 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
384,guishan,Guishan,頂湖一街(忠義路二段-頂湖一街67巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
385,guishan,Guishan,光明街(光榮路-光榮路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
386,guishan,Guishan,興華二街(文化三路-文化五路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
387,guishan,Guishan,文化一路3(華亞二路-華亞三路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
388,guishan,Guishan,光峰路281巷(光峰路-光峰路281巷12弄),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
389,guishan,Guishan,大湖一路138巷(大湖一路-大湖一路138巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38A,guishan,Guishan,德明路77巷及89巷(德明路77巷-德明路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38B,guishan,Guishan,新興街1(樹人路-忠義路二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38C,guishan,Guishan,復興北路6巷(機車計時)(復興北路-復興一路212巷),"機車車格 週一至週日 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38D,guishan,Guishan,德明路77巷及89巷(機車計次)(德明路77巷-德明路),"機車車格 週一至週五 08:00~18:00收費 10元/次,",false,false,false,APPROVED_SOURCE_TEXT,
38E,guishan,Guishan,文樂路(樂善二路-文青路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38F,guishan,Guishan,幸福一街(幸福路-幸福三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38G,guishan,Guishan,幸福路(幸福一街-幸福三十三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
38H,guishan,Guishan,樂學二路(樂學路-樂學三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
